Area_Name	Year	Group_Name	Cases_Convicted	Cases_Reported
Delhi	2004	Kidnapping & Abduction - Women & Girls	13	881
Goa	2004	Kidnapping & Abduction - Women & Girls	1	10
Gujarat	2004	Kidnapping & Abduction - Women & Girls	46	905
Haryana	2004	Kidnapping & Abduction - Women & Girls	38	292
Himachal Pradesh	2004	Kidnapping & Abduction - Women & Girls	4	99
Jammu & Kashmir	2004	Kidnapping & Abduction - Women & Girls	5	632
Jharkhand	2004	Kidnapping & Abduction - Women & Girls	36	178
Karnataka	2004	Kidnapping & Abduction - Women & Girls	9	286
Kerala	2004	Kidnapping & Abduction - Women & Girls	3	142
Lakshadweep	2004	Kidnapping & Abduction - Women & Girls	0	0
Madhya Pradesh	2004	Kidnapping & Abduction - Women & Girls	127	584
Maharashtra	2004	Kidnapping & Abduction - Women & Girls	31	787
Manipur	2004	Kidnapping & Abduction - Women & Girls	0	71
Meghalaya	2004	Kidnapping & Abduction - Women & Girls	0	18
Mizoram	2004	Kidnapping & Abduction - Women & Girls	0	0
Nagaland	2004	Kidnapping & Abduction - Women & Girls	10	4
Odisha	2004	Kidnapping & Abduction - Women & Girls	36	423
Puducherry	2004	Kidnapping & Abduction - Women & Girls	1	8
Punjab	2004	Kidnapping & Abduction - Women & Girls	73	311
Rajasthan	2004	Kidnapping & Abduction - Women & Girls	183	1881
Sikkim	2004	Kidnapping & Abduction - Women & Girls	0	4
Tamil Nadu	2004	Kidnapping & Abduction - Women & Girls	40	692
Tripura	2004	Kidnapping & Abduction - Women & Girls	14	54
Uttar Pradesh	2004	Kidnapping & Abduction - Women & Girls	768	2324
Uttarakhand	2004	Kidnapping & Abduction - Women & Girls	21	127
West Bengal	2004	Kidnapping & Abduction - Women & Girls	28	1018
Andaman & Nicobar Islands	2005	Kidnapping & Abduction - Women & Girls	0	1
Andhra Pradesh	2005	Kidnapping & Abduction - Women & Girls	55	995
Arunachal Pradesh	2005	Kidnapping & Abduction - Women & Girls	6	39
Assam	2005	Kidnapping & Abduction - Women & Girls	113	1456
Bihar	2005	Kidnapping & Abduction - Women & Girls	71	929
Chandigarh	2005	Kidnapping & Abduction - Women & Girls	0	45
Chhattisgarh	2005	Kidnapping & Abduction - Women & Girls	23	184
Dadra & Nagar Haveli	2005	Kidnapping & Abduction - Women & Girls	0	9
Daman & Diu	2005	Kidnapping & Abduction - Women & Girls	0	2
Delhi	2005	Kidnapping & Abduction - Women & Girls	15	1106
Goa	2005	Kidnapping & Abduction - Women & Girls	0	12
Gujarat	2005	Kidnapping & Abduction - Women & Girls	51	916
Haryana	2005	Kidnapping & Abduction - Women & Girls	49	344
Himachal Pradesh	2005	Kidnapping & Abduction - Women & Girls	2	102
Jammu & Kashmir	2005	Kidnapping & Abduction - Women & Girls	7	658
Jharkhand	2005	Kidnapping & Abduction - Women & Girls	13	283
Karnataka	2005	Kidnapping & Abduction - Women & Girls	11	312
Kerala	2005	Kidnapping & Abduction - Women & Girls	4	129
Lakshadweep	2005	Kidnapping & Abduction - Women & Girls	0	0
Madhya Pradesh	2005	Kidnapping & Abduction - Women & Girls	177	604
Maharashtra	2005	Kidnapping & Abduction - Women & Girls	34	851
Manipur	2005	Kidnapping & Abduction - Women & Girls	0	69
Meghalaya	2005	Kidnapping & Abduction - Women & Girls	0	19
Mizoram	2005	Kidnapping & Abduction - Women & Girls	0	0
Nagaland	2005	Kidnapping & Abduction - Women & Girls	18	9
Odisha	2005	Kidnapping & Abduction - Women & Girls	23	547
Puducherry	2005	Kidnapping & Abduction - Women & Girls	1	3
Punjab	2005	Kidnapping & Abduction - Women & Girls	17	329
Rajasthan	2005	Kidnapping & Abduction - Women & Girls	155	1549
Sikkim	2005	Kidnapping & Abduction - Women & Girls	0	2
Tamil Nadu	2005	Kidnapping & Abduction - Women & Girls	73	783
Tripura	2005	Kidnapping & Abduction - Women & Girls	8	43
Uttar Pradesh	2005	Kidnapping & Abduction - Women & Girls	721	2256
Uttarakhand	2005	Kidnapping & Abduction - Women & Girls	39	125
West Bengal	2005	Kidnapping & Abduction - Women & Girls	66	1039
Andaman & Nicobar Islands	2006	Kidnapping & Abduction - Women & Girls	0	5
Andhra Pradesh	2006	Kidnapping & Abduction - Women & Girls	71	1329
Arunachal Pradesh	2006	Kidnapping & Abduction - Women & Girls	3	51
Assam	2006	Kidnapping & Abduction - Women & Girls	102	1544
Bihar	2006	Kidnapping & Abduction - Women & Girls	118	1084
Chandigarh	2006	Kidnapping & Abduction - Women & Girls	5	57
Chhattisgarh	2006	Kidnapping & Abduction - Women & Girls	45	178
Dadra & Nagar Haveli	2006	Kidnapping & Abduction - Women & Girls	0	14
Daman & Diu	2006	Kidnapping & Abduction - Women & Girls	0	1
Delhi	2006	Kidnapping & Abduction - Women & Girls	40	1066
Goa	2006	Kidnapping & Abduction - Women & Girls	0	10
Gujarat	2006	Kidnapping & Abduction - Women & Girls	76	945
Haryana	2006	Kidnapping & Abduction - Women & Girls	55	431
Himachal Pradesh	2006	Kidnapping & Abduction - Women & Girls	6	109
Jammu & Kashmir	2006	Kidnapping & Abduction - Women & Girls	8	723
Jharkhand	2006	Kidnapping & Abduction - Women & Girls	25	410
Karnataka	2006	Kidnapping & Abduction - Women & Girls	8	328
Kerala	2006	Kidnapping & Abduction - Women & Girls	4	202
Lakshadweep	2006	Kidnapping & Abduction - Women & Girls	0	0
Madhya Pradesh	2006	Kidnapping & Abduction - Women & Girls	215	617
Maharashtra	2006	Kidnapping & Abduction - Women & Girls	36	921
Manipur	2006	Kidnapping & Abduction - Women & Girls	1	79
Meghalaya	2006	Kidnapping & Abduction - Women & Girls	0	25
Mizoram	2006	Kidnapping & Abduction - Women & Girls	2	1
Nagaland	2006	Kidnapping & Abduction - Women & Girls	2	3
Odisha	2006	Kidnapping & Abduction - Women & Girls	46	577
Puducherry	2006	Kidnapping & Abduction - Women & Girls	0	13
Punjab	2006	Kidnapping & Abduction - Women & Girls	19	418
Rajasthan	2006	Kidnapping & Abduction - Women & Girls	225	1553
Sikkim	2006	Kidnapping & Abduction - Women & Girls	0	7
Tamil Nadu	2006	Kidnapping & Abduction - Women & Girls	58	718
Tripura	2006	Kidnapping & Abduction - Women & Girls	8	62
Uttar Pradesh	2006	Kidnapping & Abduction - Women & Girls	903	2551
Uttarakhand	2006	Kidnapping & Abduction - Women & Girls	49	183
West Bengal	2006	Kidnapping & Abduction - Women & Girls	120	1199
Andaman & Nicobar Islands	2007	Kidnapping & Abduction - Women & Girls	0	9
Andhra Pradesh	2007	Kidnapping & Abduction - Women & Girls	60	1564
Arunachal Pradesh	2007	Kidnapping & Abduction - Women & Girls	4	44
Assam	2007	Kidnapping & Abduction - Women & Girls	250	1471
Bihar	2007	Kidnapping & Abduction - Women & Girls	78	1260
Chandigarh	2007	Kidnapping & Abduction - Women & Girls	10	46
Chhattisgarh	2007	Kidnapping & Abduction - Women & Girls	16	181
Dadra & Nagar Haveli	2007	Kidnapping & Abduction - Women & Girls	0	6
Daman & Diu	2007	Kidnapping & Abduction - Women & Girls	0	1
